Year,Science_Engineering_Field,SE_comparison,Broad_Field,Broad_Field_comparison,Field,Field_comparison,Recipients
1971,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,1092
1971,Non-science and engineering,0,Other,1,Total,0,1077
1971,Non-science and engineering,0,Other,0,Business management and administration,1,673
1971,Non-science and engineering,0,Other,0,Communication,1,37
1971,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,367
1971,Science and engineering,1,Total,0,Total,0,19869
1971,Science and engineering,0,Engineering,1,Total,0,3498
1971,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,198
1971,Science and engineering,0,Engineering,0,Bioengineering and biomedical engineering,1,71
1971,Science and engineering,0,Engineering,0,Chemical engineering,1,391
1971,Science and engineering,0,Engineering,0,Civil engineering,1,379
1971,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,134
1971,Science and engineering,0,Engineering,0,Materials science engineering,1,52
1971,Science and engineering,0,Engineering,0,Mechanical engineering,1,398
1971,Science and engineering,0,Engineering,0,Other engineering,1,1875
1971,Science and engineering,0,Life sciences,1,Total,0,5268
1971,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,1073
1971,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,3654
1971,Science and engineering,0,Life sciences,0,Health sciences,1,541
1971,Science and engineering,0,Mathematics and computer sciences,1,Total,0,1238
1971,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,1238
1971,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,4501
1971,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,113
1971,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,59
1971,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,2211
1971,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,412
1971,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,81
1971,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,1625
1971,Science and engineering,0,Psychology and social sciences,1,Total,0,5364
1971,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,239
1971,Science and engineering,0,Psychology and social sciences,0,Economics,1,820
1971,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,898
1971,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,675
1971,Science and engineering,0,Psychology and social sciences,0,Psychology,1,2145
1971,Science and engineering,0,Psychology and social sciences,0,Sociology,1,587
1971,Total,0,Total,0,All fields,1,31867
1972,Non-science and engineering,1,Total,0,Total,0,13289
1972,Non-science and engineering,0,Education,1,Total,0,7085
1972,Non-science and engineering,0,Education,0,Education administration,1,1678
1972,Non-science and engineering,0,Education,0,Education research,1,2553
1972,Non-science and engineering,0,Education,0,Other education,1,486
1972,Non-science and engineering,0,Education,0,Teacher education,1,663
1972,Non-science and engineering,0,Education,0,Teaching fields,1,1705
1972,Non-science and engineering,0,Humanities and arts,1,Total,0,4906
1972,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,812
1972,Non-science and engineering,0,Humanities and arts,0,History,1,1186
1972,Non-science and engineering,0,Humanities and arts,0,Letters,1,1725
1972,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,1183
1972,Non-science and engineering,0,Other,1,Total,0,1298
1972,Non-science and engineering,0,Other,0,Business management and administration,1,765
1972,Non-science and engineering,0,Other,0,Communication,1,166
1972,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,367
1972,Science and engineering,1,Total,0,Total,0,19752
1972,Science and engineering,0,Engineering,1,Total,0,3503
1972,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,181
1972,Science and engineering,0,Engineering,0,Bioengineering and biomedical engineering,1,77
1972,Science and engineering,0,Engineering,0,Chemical engineering,1,385
1972,Science and engineering,0,Engineering,0,Civil engineering,1,362
1972,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,142
1972,Science and engineering,0,Engineering,0,Materials science engineering,1,88
1972,Science and engineering,0,Engineering,0,Mechanical engineering,1,408
1972,Science and engineering,0,Engineering,0,Other engineering,1,1860
1972,Science and engineering,0,Life sciences,1,Total,0,5106
1972,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,1039
1972,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,3600
1972,Science and engineering,0,Life sciences,0,Health sciences,1,467
1972,Science and engineering,0,Mathematics and computer sciences,1,Total,0,1281
1972,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,1281
1972,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,4235
1972,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,129
1972,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,78
1972,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,2019
1972,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,413
1972,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,91
1972,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,1505
1972,Science and engineering,0,Psychology and social sciences,1,Total,0,5627
1972,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,260
1972,Science and engineering,0,Psychology and social sciences,0,Economics,1,893
1972,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,757
1972,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,799
1972,Science and engineering,0,Psychology and social sciences,0,Psychology,1,2279
1972,Science and engineering,0,Psychology and social sciences,0,Sociology,1,639
1972,Total,0,Total,0,All fields,1,33041
1973,Non-science and engineering,1,Total,0,Total,0,13947
1973,Non-science and engineering,0,Education,1,Total,0,7238
1973,Non-science and engineering,0,Education,0,Education administration,1,1454
1973,Non-science and engineering,0,Education,0,Education research,1,3111
1973,Non-science and engineering,0,Education,0,Other education,1,462
1973,Non-science and engineering,0,Education,0,Teacher education,1,675
1973,Non-science and engineering,0,Education,0,Teaching fields,1,1536
1973,Non-science and engineering,0,Humanities and arts,1,Total,0,5357
1973,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,917
1973,Non-science and engineering,0,Humanities and arts,0,History,1,1216
1973,Non-science and engineering,0,Humanities and arts,0,Letters,1,1765
1973,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,1459
1973,Non-science and engineering,0,Other,1,Total,0,1352
1973,Non-science and engineering,0,Other,0,Business management and administration,1,785
1973,Non-science and engineering,0,Other,0,Communication,1,199
1973,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,368
1973,Science and engineering,1,Total,0,Total,0,19808
1973,Science and engineering,0,Engineering,1,Total,0,3364
1973,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,167
1973,Science and engineering,0,Engineering,0,Bioengineering and biomedical engineering,1,71
1973,Science and engineering,0,Engineering,0,Chemical engineering,1,408
1973,Science and engineering,0,Engineering,0,Civil engineering,1,357
1973,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,109
1973,Science and engineering,0,Engineering,0,Materials science engineering,1,132
1973,Science and engineering,0,Engineering,0,Mechanical engineering,1,364
1973,Science and engineering,0,Engineering,0,Other engineering,1,1756
1973,Science and engineering,0,Life sciences,1,Total,0,5223
1973,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,1089
1973,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,3648
1973,Science and engineering,0,Life sciences,0,Health sciences,1,486
1973,Science and engineering,0,Mathematics and computer sciences,1,Total,0,1233
1973,Science and engineering,0,Mathematics and computer sciences,0,Computer and information sciences,1,1
1973,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,1232
1973,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,4023
1973,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,131
1973,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,58
1973,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,1855
1973,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,403
1973,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,118
1973,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,1458
1973,Science and engineering,0,Psychology and social sciences,1,Total,0,5965
1973,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,326
1973,Science and engineering,0,Psychology and social sciences,0,Economics,1,942
1973,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,860
1973,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,780
1973,Science and engineering,0,Psychology and social sciences,0,Psychology,1,2458
1973,Science and engineering,0,Psychology and social sciences,0,Sociology,1,599
1973,Total,0,Total,0,All fields,1,33755
1974,Non-science and engineering,1,Total,0,Total,0,13910
1974,Non-science and engineering,0,Education,1,Total,0,7241
1974,Non-science and engineering,0,Education,0,Education administration,1,1377
1974,Non-science and engineering,0,Education,0,Education research,1,3207
1974,Non-science and engineering,0,Education,0,Other education,1,520
1974,Non-science and engineering,0,Education,0,Teacher education,1,658
1974,Non-science and engineering,0,Education,0,Teaching fields,1,1479
1974,Non-science and engineering,0,Humanities and arts,1,Total,0,5179
1974,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,887
1974,Non-science and engineering,0,Humanities and arts,0,History,1,1186
1974,Non-science and engineering,0,Humanities and arts,0,Letters,1,1595
1974,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,1511
1974,Non-science and engineering,0,Other,1,Total,0,1490
1974,Non-science and engineering,0,Other,0,Business management and administration,1,796
1974,Non-science and engineering,0,Other,0,Communication,1,311
1974,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,383
1974,Science and engineering,1,Total,0,Total,0,19137
1974,Science and engineering,0,Engineering,1,Total,0,3147
1974,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,148
1974,Science and engineering,0,Engineering,0,Bioengineering and biomedical engineering,1,62
1974,Science and engineering,0,Engineering,0,Chemical engineering,1,388
1974,Science and engineering,0,Engineering,0,Civil engineering,1,324
1974,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,92
1974,Science and engineering,0,Engineering,0,Materials science engineering,1,116
1974,Science and engineering,0,Engineering,0,Mechanical engineering,1,377
1974,Science and engineering,0,Engineering,0,Other engineering,1,1640
1974,Science and engineering,0,Life sciences,1,Total,0,5017
1974,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,1057
1974,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,3484
1974,Science and engineering,0,Life sciences,0,Health sciences,1,476
1974,Science and engineering,0,Mathematics and computer sciences,1,Total,0,1211
1974,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,1211
1974,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,3712
1974,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,133
1974,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,57
1974,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,1797
1974,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,421
1974,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,98
1974,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,1206
1974,Science and engineering,0,Psychology and social sciences,1,Total,0,6050
1974,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,379
1974,Science and engineering,0,Psychology and social sciences,0,Economics,1,851
1974,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,801
1974,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,776
1974,Science and engineering,0,Psychology and social sciences,0,Psychology,1,2598
1974,Science and engineering,0,Psychology and social sciences,0,Sociology,1,645
1974,Total,0,Total,0,All fields,1,33047
1975,Non-science and engineering,1,Total,0,Total,0,13742
1975,Non-science and engineering,0,Education,1,Total,0,7360
1975,Non-science and engineering,0,Education,0,Education administration,1,1508
1975,Non-science and engineering,0,Education,0,Education research,1,3375
1975,Non-science and engineering,0,Education,0,Other education,1,490
1975,Non-science and engineering,0,Education,0,Teacher education,1,570
1975,Non-science and engineering,0,Education,0,Teaching fields,1,1417
1975,Non-science and engineering,0,Humanities and arts,1,Total,0,4965
1975,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,826
1975,Non-science and engineering,0,Humanities and arts,0,History,1,1183
1975,Non-science and engineering,0,Humanities and arts,0,Letters,1,1485
1975,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,1471
1975,Non-science and engineering,0,Other,1,Total,0,1417
1975,Non-science and engineering,0,Other,0,Business management and administration,1,787
1975,Non-science and engineering,0,Other,0,Communication,1,264
1975,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,366
1975,Science and engineering,1,Total,0,Total,0,19210
1975,Science and engineering,0,Engineering,1,Total,0,3002
1975,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,141
1975,Science and engineering,0,Engineering,0,Bioengineering and biomedical engineering,1,76
1975,Science and engineering,0,Engineering,0,Chemical engineering,1,370
1975,Science and engineering,0,Engineering,0,Civil engineering,1,290
1975,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,92
1975,Science and engineering,0,Engineering,0,Materials science engineering,1,132
1975,Science and engineering,0,Engineering,0,Mechanical engineering,1,325
1975,Science and engineering,0,Engineering,0,Other engineering,1,1576
1975,Science and engineering,0,Life sciences,1,Total,0,5103
1975,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,1144
1975,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,3497
1975,Science and engineering,0,Life sciences,0,Health sciences,1,462
1975,Science and engineering,0,Mathematics and computer sciences,1,Total,0,1147
1975,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,1147
1975,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,3633
1975,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,131
1975,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,45
1975,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,1776
1975,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,408
1975,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,104
1975,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,1169
1975,Science and engineering,0,Psychology and social sciences,1,Total,0,6325
1975,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,386
1975,Science and engineering,0,Psychology and social sciences,0,Economics,1,895
1975,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,864
1975,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,749
1975,Science and engineering,0,Psychology and social sciences,0,Psychology,1,2751
1975,Science and engineering,0,Psychology and social sciences,0,Sociology,1,680
1975,Total,0,Total,0,All fields,1,32952
1976,Non-science and engineering,1,Total,0,Total,0,14125
1976,Non-science and engineering,0,Education,1,Total,0,7725
1976,Non-science and engineering,0,Education,0,Education administration,1,1683
1976,Non-science and engineering,0,Education,0,Education research,1,3379
1976,Non-science and engineering,0,Education,0,Other education,1,657
1976,Non-science and engineering,0,Education,0,Teacher education,1,588
1976,Non-science and engineering,0,Education,0,Teaching fields,1,1418
1976,Non-science and engineering,0,Humanities and arts,1,Total,0,4833
1976,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,835
1976,Non-science and engineering,0,Humanities and arts,0,History,1,1095
1976,Non-science and engineering,0,Humanities and arts,0,Letters,1,1548
1976,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,1355
1976,Non-science and engineering,0,Other,1,Total,0,1567
1976,Non-science and engineering,0,Other,0,Business management and administration,1,739
1976,Non-science and engineering,0,Other,0,Communication,1,295
1976,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,533
1976,Science and engineering,1,Total,0,Total,0,18821
1976,Science and engineering,0,Engineering,1,Total,0,2834
1976,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,122
1976,Science and engineering,0,Engineering,0,Bioengineering and biomedical engineering,1,73
1976,Science and engineering,0,Engineering,0,Chemical engineering,1,314
1976,Science and engineering,0,Engineering,0,Civil engineering,1,314
1976,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,67
1976,Science and engineering,0,Engineering,0,Materials science engineering,1,117
1976,Science and engineering,0,Engineering,0,Mechanical engineering,1,304
1976,Science and engineering,0,Engineering,0,Other engineering,1,1523
1976,Science and engineering,0,Life sciences,1,Total,0,5087
1976,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,1011
1976,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,3573
1976,Science and engineering,0,Life sciences,0,Health sciences,1,503
1976,Science and engineering,0,Mathematics and computer sciences,1,Total,0,1003
1976,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,1003
1976,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,3445
1976,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,150
1976,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,76
1976,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,1624
1976,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,404
1976,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,104
1976,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,1087
1976,Science and engineering,0,Psychology and social sciences,1,Total,0,6452
1976,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,428
1976,Science and engineering,0,Psychology and social sciences,0,Economics,1,885
1976,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,854
1976,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,668
1976,Science and engineering,0,Psychology and social sciences,0,Psychology,1,2883
1976,Science and engineering,0,Psychology and social sciences,0,Sociology,1,734
1976,Total,0,Total,0,All fields,1,32946
1977,Non-science and engineering,1,Total,0,Total,0,13418
1977,Non-science and engineering,0,Education,1,Total,0,7455
1977,Non-science and engineering,0,Education,0,Education administration,1,1516
1977,Non-science and engineering,0,Education,0,Education research,1,3388
1977,Non-science and engineering,0,Education,0,Other education,1,610
1977,Non-science and engineering,0,Education,0,Teacher education,1,502
1977,Non-science and engineering,0,Education,0,Teaching fields,1,1439
1977,Non-science and engineering,0,Humanities and arts,1,Total,0,4434
1977,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,728
1977,Non-science and engineering,0,Humanities and arts,0,History,1,961
1977,Non-science and engineering,0,Humanities and arts,0,Letters,1,1349
1977,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,1396
1977,Non-science and engineering,0,Other,1,Total,0,1529
1977,Non-science and engineering,0,Other,0,Business management and administration,1,671
1977,Non-science and engineering,0,Other,0,Communication,1,302
1977,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,556
1977,Science and engineering,1,Total,0,Total,0,18298
1977,Science and engineering,0,Engineering,1,Total,0,2643
1977,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,115
1977,Science and engineering,0,Engineering,0,Bioengineering and biomedical engineering,1,75
1977,Science and engineering,0,Engineering,0,Chemical engineering,1,306
1977,Science and engineering,0,Engineering,0,Civil engineering,1,269
1977,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,73
1977,Science and engineering,0,Engineering,0,Materials science engineering,1,125
1977,Science and engineering,0,Engineering,0,Mechanical engineering,1,270
1977,Science and engineering,0,Engineering,0,Other engineering,1,1410
1977,Science and engineering,0,Life sciences,1,Total,0,4977
1977,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,982
1977,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,3484
1977,Science and engineering,0,Life sciences,0,Health sciences,1,511
1977,Science and engineering,0,Mathematics and computer sciences,1,Total,0,964
1977,Science and engineering,0,Mathematics and computer sciences,0,Computer and information sciences,1,31
1977,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,933
1977,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,3361
1977,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,120
1977,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,93
1977,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,1571
1977,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,402
1977,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,145
1977,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,1030
1977,Science and engineering,0,Psychology and social sciences,1,Total,0,6353
1977,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,385
1977,Science and engineering,0,Psychology and social sciences,0,Economics,1,837
1977,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,802
1977,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,614
1977,Science and engineering,0,Psychology and social sciences,0,Psychology,1,2990
1977,Science and engineering,0,Psychology and social sciences,0,Sociology,1,725
1977,Total,0,Total,0,All fields,1,31716
1978,Non-science and engineering,1,Total,0,Total,0,12923
1978,Non-science and engineering,0,Education,1,Total,0,7194
1978,Non-science and engineering,0,Education,0,Education administration,1,1455
1978,Non-science and engineering,0,Education,0,Education research,1,3165
1978,Non-science and engineering,0,Education,0,Other education,1,671
1978,Non-science and engineering,0,Education,0,Teacher education,1,551
1978,Non-science and engineering,0,Education,0,Teaching fields,1,1352
1978,Non-science and engineering,0,Humanities and arts,1,Total,0,4201
1978,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,637
1978,Non-science and engineering,0,Humanities and arts,0,History,1,852
1978,Non-science and engineering,0,Humanities and arts,0,Letters,1,1275
1978,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,1437
1978,Non-science and engineering,0,Other,1,Total,0,1528
1978,Non-science and engineering,0,Other,0,Business management and administration,1,713
1978,Non-science and engineering,0,Other,0,Communication,1,292
1978,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,523
1978,Science and engineering,1,Total,0,Total,0,17952
1978,Science and engineering,0,Engineering,1,Total,0,2423
1978,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,103
1978,Science and engineering,0,Engineering,0,Bioengineering and biomedical engineering,1,79
1978,Science and engineering,0,Engineering,0,Chemical engineering,1,261
1978,Science and engineering,0,Engineering,0,Civil engineering,1,236
1978,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,51
1978,Science and engineering,0,Engineering,0,Materials science engineering,1,125
1978,Science and engineering,0,Engineering,0,Mechanical engineering,1,282
1978,Science and engineering,0,Engineering,0,Other engineering,1,1286
1978,Science and engineering,0,Life sciences,1,Total,0,5086
1978,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,1058
1978,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,3516
1978,Science and engineering,0,Life sciences,0,Health sciences,1,512
1978,Science and engineering,0,Mathematics and computer sciences,1,Total,0,959
1978,Science and engineering,0,Mathematics and computer sciences,0,Computer and information sciences,1,121
1978,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,838
1978,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,3189
1978,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,138
1978,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,77
1978,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,1544
1978,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,344
1978,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,157
1978,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,929
1978,Science and engineering,0,Psychology and social sciences,1,Total,0,6295
1978,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,399
1978,Science and engineering,0,Psychology and social sciences,0,Economics,1,800
1978,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,828
1978,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,603
1978,Science and engineering,0,Psychology and social sciences,0,Psychology,1,3055
1978,Science and engineering,0,Psychology and social sciences,0,Sociology,1,610
1978,Total,0,Total,0,All fields,1,30875
1979,Non-science and engineering,1,Total,0,Total,0,13025
1979,Non-science and engineering,0,Education,1,Total,0,7384
1979,Non-science and engineering,0,Education,0,Education administration,1,1500
1979,Non-science and engineering,0,Education,0,Education research,1,3333
1979,Non-science and engineering,0,Education,0,Other education,1,648
1979,Non-science and engineering,0,Education,0,Teacher education,1,492
1979,Non-science and engineering,0,Education,0,Teaching fields,1,1411
1979,Non-science and engineering,0,Humanities and arts,1,Total,0,4094
1979,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,646
1979,Non-science and engineering,0,Humanities and arts,0,History,1,829
1979,Non-science and engineering,0,Humanities and arts,0,Letters,1,1162
1979,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,1457
1979,Non-science and engineering,0,Other,1,Total,0,1547
1979,Non-science and engineering,0,Other,0,Business management and administration,1,715
1979,Non-science and engineering,0,Other,0,Communication,1,285
1979,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,547
1979,Science and engineering,1,Total,0,Total,0,18213
1979,Science and engineering,0,Engineering,1,Total,0,2490
1979,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,81
1979,Science and engineering,0,Engineering,0,Bioengineering and biomedical engineering,1,69
1979,Science and engineering,0,Engineering,0,Chemical engineering,1,287
1979,Science and engineering,0,Engineering,0,Civil engineering,1,236
1979,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,82
1979,Science and engineering,0,Engineering,0,Materials science engineering,1,125
1979,Science and engineering,0,Engineering,0,Mechanical engineering,1,281
1979,Science and engineering,0,Engineering,0,Other engineering,1,1329
1979,Science and engineering,0,Life sciences,1,Total,0,5276
1979,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,1062
1979,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,3646
1979,Science and engineering,0,Life sciences,0,Health sciences,1,568
1979,Science and engineering,0,Mathematics and computer sciences,1,Total,0,979
1979,Science and engineering,0,Mathematics and computer sciences,0,Computer and information sciences,1,210
1979,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,769
1979,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,3267
1979,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,115
1979,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,84
1979,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,1566
1979,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,367
1979,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,142
1979,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,993
1979,Science and engineering,0,Psychology and social sciences,1,Total,0,6201
1979,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,383
1979,Science and engineering,0,Psychology and social sciences,0,Economics,1,802
1979,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,771
1979,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,522
1979,Science and engineering,0,Psychology and social sciences,0,Psychology,1,3091
1979,Science and engineering,0,Psychology and social sciences,0,Sociology,1,632
1979,Total,0,Total,0,All fields,1,31238
1980,Non-science and engineering,1,Total,0,Total,0,12850
1980,Non-science and engineering,0,Education,1,Total,0,7586
1980,Non-science and engineering,0,Education,0,Education administration,1,1536
